,Index,0
0,T30234341,1
1,T30234342,1
2,T30234343,1
3,T30234344,1
4,T30234345,1
5,T30234346,1
6,T30234347,1
7,T30234348,1
8,T30234349,1
9,T30234350,1
10,T30234351,0
11,T30234352,1
12,T30234353,1
13,T30234354,1
14,T30234355,1
15,T30234356,1
16,T30234357,1
17,T30234358,1
18,T30234359,0
19,T30234360,1
20,T30234361,1
21,T30234362,1
22,T30234363,1
23,T30234364,1
24,T30234365,0
25,T30234366,1
26,T30234367,1
27,T30234368,1
28,T30234369,1
29,T30234370,1
30,T30234371,1
31,T30234372,1
32,T30234373,0
33,T30234374,1
34,T30234375,1
35,T30234376,0
36,T30234377,1
37,T30234378,1
38,T30234379,1
39,T30234380,1
40,T30234381,1
41,T30234382,1
42,T30234383,0
43,T30234384,1
44,T30234385,0
45,T30234386,1
46,T30234387,1
47,T30234388,1
48,T30234389,1
49,T30234390,0
50,T30234391,1
51,T30234392,0
52,T30234393,1
53,T30234394,1
54,T30234395,0
55,T30234396,0
56,T30234397,1
57,T30234398,1
58,T30234399,1
59,T30234400,1
60,T30234401,1
61,T30234402,1
62,T30234403,1
63,T30234404,0
64,T30234405,1
65,T30234406,1
66,T30234407,0
67,T30234408,1
68,T30234409,1
69,T30234410,0
70,T30234411,1
71,T30234412,1
72,T30234413,1
73,T30234414,1
74,T30234415,0
75,T30234416,0
76,T30234417,1
77,T30234418,0
78,T30234419,1
79,T30234420,1
80,T30234421,0
81,T30234422,0
82,T30234423,1
83,T30234424,0
84,T30234425,1
85,T30234426,1
86,T30234427,1
87,T30234428,1
88,T30234429,1
89,T30234430,0
90,T30234431,1
91,T30234432,1
92,T30234433,1
93,T30234434,0
94,T30234435,1
95,T30234436,0
96,T30234437,0
97,T30234438,0
98,T30234439,1
99,T30234440,1
100,T30234441,1
101,T30234442,1
102,T30234443,0
103,T30234444,0
104,T30234445,1
105,T30234446,1
106,T30234447,1
107,T30234448,1
108,T30234449,1
109,T30234450,1
110,T30234451,1
111,T30234452,0
112,T30234453,1
113,T30234454,1
114,T30234455,1
115,T30234456,1
116,T30234457,0
117,T30234458,1
118,T30234459,1
119,T30234460,1
120,T30234461,1
121,T30234462,0
122,T30234463,1
123,T30234464,1
124,T30234465,1
125,T30234466,1
126,T30234467,1
127,T30234468,1
128,T30234469,1
129,T30234470,1
130,T30234471,1
131,T30234472,1
132,T30234473,1
133,T30234474,1
134,T30234475,1
135,T30234476,1
136,T30234477,0
137,T30234478,1
138,T30234479,1
139,T30234480,1
140,T30234481,1
